tourney_id,tourney_name,tourney_location,surface,draw_size,tourney_level,tourney_date,latitude,longitude
1983-301,Auckland,Auckland,Hard,32,A,19830110,-36.852095,174.76318
2009-301,Auckland,Auckland,Hard,28,A,20090112,-36.852095,174.76318
1993-301,Auckland,Auckland,Hard,32,A,19930111,-36.852095,174.76318
2017-0301,Auckland,Auckland,Hard,32,A,20170109,-36.852095,174.76318
2020-0301,Auckland,Auckland,Hard,32,A,20200113,-36.852095,174.76318
2016-0301,Auckland,Auckland,Hard,32,A,20160111,-36.852095,174.76318
1974-301,Auckland,Auckland,Grass,32,A,19740107,-36.852095,174.76318
2010-301,Auckland,Auckland,Hard,28,A,20100111,-36.852095,174.76318
1982-301,Auckland,Auckland,Hard,32,A,19820111,-36.852095,174.76318
1984-301,Auckland,Auckland,Hard,32,A,19840109,-36.852095,174.76318
2004-301,Auckland,Auckland,Hard,32,A,20040112,-36.852095,174.76318
1971-301,Auckland,Auckland,Hard,32,A,19710307,-36.852095,174.76318
1992-301,Auckland,Auckland,Hard,32,A,19920106,-36.852095,174.76318
2019-0301,Auckland,Auckland,Hard,32,A,20190107,-36.852095,174.76318
2008-301,Auckland,Auckland,Hard,32,A,20080107,-36.852095,174.76318
2014-301,Auckland,Auckland,Hard,28,A,20140106,-36.852095,174.76318
1987-301,Auckland,Auckland,Hard,32,A,19870105,-36.852095,174.76318
1977-301,Auckland,Auckland,Grass,32,A,19770110,-36.852095,174.76318
1972-301,Auckland,Auckland,Grass,32,A,19711206,-36.852095,174.76318
2012-301,Auckland,Auckland,Hard,28,A,20120109,-36.852095,174.76318
1989-301,Auckland,Auckland,Hard,32,A,19890109,-36.852095,174.76318
2007-301,Auckland,Auckland,Hard,32,A,20070108,-36.852095,174.76318
1988-301,Auckland,Auckland,Hard,32,A,19880104,-36.852095,174.76318
1980-301,Auckland,Auckland,Hard,32,A,19800101,-36.852095,174.76318
2018-0301,Auckland,Auckland,Hard,32,A,20180108,-36.852095,174.76318
2013-301,Auckland,Auckland,Hard,28,A,20130107,-36.852095,174.76318
2006-301,Auckland,Auckland,Hard,32,A,20060109,-36.852095,174.76318
1981-301,Auckland,Auckland,Hard,32,A,19810105,-36.852095,174.76318
2015-301,Auckland,Auckland,Hard,28,A,20150112,-36.852095,174.76318
1973-301,Auckland,Auckland,Grass,32,A,19730108,-36.852095,174.76318
2011-301,Auckland,Auckland,Hard,28,A,20110110,-36.852095,174.76318
1985-301,Auckland,Auckland,Hard,32,A,19850107,-36.852095,174.76318
1976-301,Auckland,Auckland,Hard,32,A,19751231,-36.852095,174.76318
1986-301,Auckland,Auckland,Hard,32,A,19860106,-36.852095,174.76318
1990-301,Auckland,Auckland,Hard,32,A,19900108,-36.852095,174.76318
1970-301,Auckland,Auckland,Grass,32,A,19700126,-36.852095,174.76318
1979-301,Auckland,Auckland,Hard,32,A,19790102,-36.852095,174.76318
1991-301,Auckland,Auckland,Hard,32,A,19910107,-36.852095,174.76318
1995-301,Auckland,Auckland,Hard,32,A,19950109,-36.852095,174.76318
1969-301,Auckland,Auckland,Grass,32,A,19690129,-36.852095,174.76318
1996-301,Auckland,Auckland,Hard,32,A,19960108,-36.852095,174.76318
1994-301,Auckland,Auckland,Hard,32,A,19940110,-36.852095,174.76318
1968-301,Auckland,Auckland,Grass,32,A,19680131,-36.852095,174.76318
2001-301,Auckland,Auckland,Hard,32,A,20010108,-36.852095,174.76318
1998-301,Auckland,Auckland,Hard,32,A,19980112,-36.852095,174.76318
1997-301,Auckland,Auckland,Hard,32,A,19970106,-36.852095,174.76318
2000-301,Auckland,Auckland,Hard,32,A,20000110,-36.852095,174.76318
