player_id;name_first;name_last;hand;dob;ioc;ioc_nation;height;wikidata_id
139420;Luigi;Scuderi;U;19770702;ITA;Italy;;
139421;Marco;Ciccu;U;19801018;ITA;Italy;;
139422;Federico;Verdiani;U;19820306;ITA;Italy;;
139423;Marco;Risciglione;U;19821222;ITA;Italy;;
139424;Luis;Oliveira;U;19811220;BRA;Brazil;;
139425;Alberto;Totaro;U;19820124;ITA;Italy;;
139426;Angelo;Maccarone;U;19800530;ITA;Italy;;
139427;Maurizio;Lazzaroni;U;19700401;ITA;Italy;;
139428;Mauro;Susinno;U;19600821;ITA;Italy;;
139429;Paolo;Ricciardo;U;19811013;ITA;Italy;;
139430;Claudio;Iraci;U;19790615;ITA;Italy;;
139431;Sebastian;Thomet;U;19830716;SUI;Switzerland;;
139432;Claudio;Meier;U;19800602;SUI;Switzerland;;
139433;Vincent;Tissiers;U;19810714;SUI;Switzerland;;
139434;Robert;Kirkness;U;19790518;GBR;Great Britain;;
139435;Adria;Vila Rutllant;U;19830519;ESP;Spain;;
139436;Alayn;Iragorri Maylin;U;19830506;ESP;Spain;;
139437;Gary;Petrossian;U;19790721;ARM;Armenia;;
139438;Octavi;Bisquert Perez;U;19830918;ESP;Spain;;
139439;Israel;Najera Aliende;U;19780324;ESP;Spain;;
139440;David;Martinez De La Mota;U;19830911;ESP;Spain;;
139441;Josep;Molet Fernandez;U;19830821;ESP;Spain;;
139442;Victor;Rua;U;19830610;ESP;Spain;;
139443;Joan;Costa Espin;U;19820501;ESP;Spain;;
139444;Toru;Latto;U;19810711;JPN;Japan;;
139445;Marc;Santin Duaso;U;19840924;ESP;Spain;;
139446;Gerard;Company Escriche;U;19820527;ESP;Spain;;
139447;Christos;Papathanasiou;U;19830225;AUS;Australia;;
139448;David;Esteban Jacobs;U;19791121;ESP;Spain;;
139449;Marc;Sifre Sole;U;19840314;ESP;Spain;;
139450;David;Freixenet;U;19820430;ESP;Spain;;
139451;David;Pi Bartomeus;U;19841226;ESP;Spain;;
139452;Jordi;Viladrich Pujol;U;19831209;ESP;Spain;;
139453;Jury;Mantilla;U;19811022;BRA;Brazil;;
139454;Ferran;Mayordomo Diaz;U;19830528;ESP;Spain;;
139455;Romain;Massaro;U;19810809;FRA;France;;
139456;Josep;Rivera Gil;U;19801108;ESP;Spain;;
139457;Jose Manuel;Viesca Garcia;U;19820303;ESP;Spain;;
139458;Francesco;Esteve Cots;U;19840724;ESP;Spain;;
139459;Hugo;Gamboa;U;19810509;POR;Portugal;;
139460;Emiliano;Escobedo;U;19810702;MEX;Mexico;;
139461;Eduardo;Sanchez Les;U;19800530;ESP;Spain;;
139462;Miguel;Rodriguez Menendez;U;19811001;ESP;Spain;;
139463;Oren;Shavit;U;19740215;ISR;Israel;;
139464;Vincenzo;Barca;R;19810728;ITA;Italy;;
139465;Peter;Kurhajec;U;19820529;SVK;Slovakia;;
139466;;;U;;SLO;Slovenia;;
139467;;;U;;CZE;Czechia;;
139468;Fabrizio;Perrella;U;19820908;ITA;Italy;;
139469;Goran;Jovicic;U;19830116;CRO;Croatia;;
139470;Ivo;Maracek;U;19840530;SVK;Slovakia;;
139471;Cristiano;Cerri;U;19771105;ITA;Italy;;
